station_name,latitude,longitude
東京駅,35.681236,139.767125
新宿駅,35.689607,139.700571
渋谷駅,35.658034,139.701636
品川駅,35.628471,139.738657
池袋駅,35.728926,139.710905
上野駅,35.713768,139.777043
秋葉原駅,35.698683,139.774219
横浜駅,35.465786,139.622313
川崎駅,35.530954,139.696938
大宮駅,35.906357,139.623634
千葉駅,35.613458,140.113439
大阪駅,34.702488,135.495951
梅田駅,34.705076,135.498231
難波駅,34.665442,135.502997
新大阪駅,34.733434,135.499970
天王寺駅,34.646645,135.513414
京都駅,34.985849,135.758767
神戸駅,34.679593,135.178075
三宮駅,34.694920,135.195511
名古屋駅,35.170694,136.881637
栄駅,35.167485,136.909863
金山駅,35.143246,136.901423
札幌駅,43.068564,141.350733
大通駅,43.060963,141.354382
すすきの駅,43.055740,141.352968
仙台駅,38.260132,140.882423
広島駅,34.397332,132.475378
紙屋町駅,34.396566,132.457467
博多駅,33.589728,130.420715
天神駅,33.590197,130.399002
小倉駅,33.885882,130.883140
福岡空港駅,33.592311,130.448616
熊本駅,32.790197,130.741734
鹿児島中央駅,31.584304,130.542815
那覇空港駅,26.206368,127.652098
新潟駅,37.912454,139.061126
金沢駅,36.577831,136.648050
静岡駅,34.972089,138.388907
浜松駅,34.703892,137.734843
岡山駅,34.666213,133.918600
高松駅,34.350667,134.046574
松山駅,33.845883,132.752030
長野駅,36.643062,138.188644
宇都宮駅,36.558992,139.898543
高崎駅,36.322067,139.012926
水戸駅,36.371094,140.476952
つくば駅,36.082593,140.111784
川越駅,35.906921,139.482254
柏駅,35.862107,139.970888
